kernel,p,seed,macro_f1,kta,off_diag_mean,off_diag_var,polarization,eff_rank_shannon,eff_rank_huang
FQK,0.0,42,0.2878250728004871,0.2596937473010953,0.03150710092292627,0.007303412906142509,0.007303412906142509,146.69813023010096,20.82491370558181
FQK,0.0,43,0.29820348816888614,0.2596937473010953,0.03150710092292627,0.007303412906142509,0.007303412906142509,146.69813023010096,20.82491370558181
FQK,0.0,44,0.2841943734015345,0.2596937473010953,0.03150710092292627,0.007303412906142509,0.007303412906142509,146.69813023010096,20.82491370558181
AGPQK,0.0,42,0.257222496841874,0.154991476876767,0.18322581015297387,0.021352899664075043,0.02135289966407504,48.78716269823332,5.123456867657634
AGPQK,0.0,43,0.2944100524222228,0.154991476876767,0.18322581015297387,0.021352899664075043,0.02135289966407504,48.78716269823332,5.123456867657634
AGPQK,0.0,44,0.15867004967350987,0.154991476876767,0.18322581015297387,0.021352899664075043,0.02135289966407504,48.78716269823332,5.123456867657634
FQK,0.002,42,0.2878250728004871,0.2624007031979931,0.03040751108938342,0.006610384496700154,0.006610384496700154,157.44496281132578,21.59685193533106
FQK,0.002,43,0.3032746146586977,0.2624007031979931,0.03040751108938342,0.006610384496700154,0.006610384496700154,157.44496281132578,21.59685193533106
FQK,0.002,44,0.28344022558856313,0.2624007031979931,0.03040751108938342,0.006610384496700154,0.006610384496700154,157.44496281132578,21.59685193533106
AGPQK,0.002,42,0.25431839402427636,0.15448716445328184,0.18651473767800858,0.021533013712809655,0.021533013712809655,47.85985071461377,5.039866372652821
AGPQK,0.002,43,0.2968608523962426,0.15448716445328184,0.18651473767800858,0.021533013712809655,0.021533013712809655,47.85985071461377,5.039866372652821
AGPQK,0.002,44,0.15867004967350987,0.15448716445328184,0.18651473767800858,0.021533013712809655,0.021533013712809655,47.85985071461377,5.039866372652821
FQK,0.005,42,0.281415824609232,0.2662137421711714,0.028851958132327177,0.00569567123216867,0.005695671232168667,171.97938950468648,22.79092614704788
FQK,0.005,43,0.30240956275558356,0.2662137421711714,0.028851958132327177,0.00569567123216867,0.005695671232168667,171.97938950468648,22.79092614704788
FQK,0.005,44,0.28792201830565,0.2662137421711714,0.028851958132327177,0.00569567123216867,0.005695671232168667,171.97938950468648,22.79092614704788
AGPQK,0.005,42,0.25431839402427636,0.15373252511050958,0.19151981146353905,0.021798139091292128,0.02179813909129214,46.49215304240169,4.917789639241558
AGPQK,0.005,43,0.2968608523962426,0.15373252511050958,0.19151981146353905,0.021798139091292128,0.02179813909129214,46.49215304240169,4.917789639241558
AGPQK,0.005,44,0.15727502526058265,0.15373252511050958,0.19151981146353905,0.021798139091292128,0.02179813909129214,46.49215304240169,4.917789639241558
FQK,0.01,42,0.28854326080241216,0.2718044582569008,0.02648939631874415,0.004451268307867299,0.004451268307867299,193.07316716369027,24.87658494281757
FQK,0.01,43,0.26672918534145995,0.2718044582569008,0.02648939631874415,0.004451268307867299,0.004451268307867299,193.07316716369027,24.87658494281757
FQK,0.01,44,0.2619646858777293,0.2718044582569008,0.02648939631874415,0.004451268307867299,0.004451268307867299,193.07316716369027,24.87658494281757
AGPQK,0.01,42,0.25431839402427636,0.15248010241437424,0.20005131655966843,0.022225462457867117,0.022225462457867114,44.27501914539017,4.722848516349424
AGPQK,0.01,43,0.2968608523962426,0.15248010241437424,0.20005131655966843,0.022225462457867117,0.022225462457867114,44.27501914539017,4.722848516349424
AGPQK,0.01,44,0.1670789468292101,0.15248010241437424,0.20005131655966843,0.022225462457867117,0.022225462457867114,44.27501914539017,4.722848516349424
FQK,0.02,42,0.27764419962562376,0.2796397676602134,0.022507156016558255,0.0027374751866191386,0.0027374751866191386,225.89974956783976,29.394723637098092
FQK,0.02,43,0.2414311179017061,0.2796397676602134,0.022507156016558255,0.0027374751866191386,0.0027374751866191386,225.89974956783976,29.394723637098092
FQK,0.02,44,0.24826734972063694,0.2796397676602134,0.022507156016558255,0.0027374751866191386,0.0027374751866191386,225.89974956783976,29.394723637098092
AGPQK,0.02,42,0.24793587197520903,0.14999794281770967,0.21781380861713728,0.02301823918219269,0.02301823918219268,40.07564885077554,4.362950026016406
AGPQK,0.02,43,0.28402975504502137,0.14999794281770967,0.21781380861713728,0.02301823918219269,0.02301823918219268,40.07564885077554,4.362950026016406
AGPQK,0.02,44,0.16587231032845595,0.14999794281770967,0.21781380861713728,0.02301823918219269,0.02301823918219268,40.07564885077554,4.362950026016406
FQK,0.05,42,0.16871370248979356,0.2786905683498031,0.01472658214622295,0.0006792330147370193,0.0006792330147370193,275.5265485473249,45.243313871671454
FQK,0.05,43,0.17959837163989412,0.2786905683498031,0.01472658214622295,0.0006792330147370193,0.0006792330147370193,275.5265485473249,45.243313871671454
FQK,0.05,44,0.1710303025181918,0.2786905683498031,0.01472658214622295,0.0006792330147370193,0.0006792330147370193,275.5265485473249,45.243313871671454
AGPQK,0.05,42,0.2502481694432159,0.14278132024288182,0.27635206655600697,0.024766560304010945,0.024766560304010962,29.331629586476893,3.4878042892651924
AGPQK,0.05,43,0.22186352670781737,0.14278132024288182,0.27635206655600697,0.024766560304010945,0.024766560304010962,29.331629586476893,3.4878042892651924
AGPQK,0.05,44,0.16699275850772766,0.14278132024288182,0.27635206655600697,0.024766560304010945,0.024766560304010962,29.331629586476893,3.4878042892651924
