dataset,feature_set,method,k_per_class,seed,macro_f1,n_train,n_test
so2sat,physics8,RandomForest,2,15,0.2751454658373731,34,1766
so2sat,physics8,SG-BSCM,2,16,0.18720020286331884,34,1766
so2sat,physics8,BSCM-uniform,2,16,0.1900880388046009,34,1766
so2sat,physics8,SRQFM-fid,2,16,0.1615504172276904,34,1766
so2sat,physics8,RBF-SVM,2,16,0.1724952532269408,34,1766
so2sat,physics8,RandomForest,2,16,0.19215996260809717,34,1766
so2sat,physics8,SG-BSCM,2,17,0.256625423236621,34,1766
so2sat,physics8,BSCM-uniform,2,17,0.26261046103984514,34,1766
so2sat,physics8,SRQFM-fid,2,17,0.23308308997942978,34,1766
so2sat,physics8,RBF-SVM,2,17,0.253225221539046,34,1766
so2sat,physics8,RandomForest,2,17,0.2797854992162197,34,1766
so2sat,physics8,SG-BSCM,2,18,0.2804658610259856,34,1766
so2sat,physics8,BSCM-uniform,2,18,0.2859728502993856,34,1766
so2sat,physics8,SRQFM-fid,2,18,0.26368580870933844,34,1766
so2sat,physics8,RBF-SVM,2,18,0.2827582007753492,34,1766
so2sat,physics8,RandomForest,2,18,0.24098167977476248,34,1766
so2sat,physics8,SG-BSCM,2,19,0.25892231479478517,34,1766
so2sat,physics8,BSCM-uniform,2,19,0.25796772112312405,34,1766
so2sat,physics8,SRQFM-fid,2,19,0.22749479557583804,34,1766
so2sat,physics8,RBF-SVM,2,19,0.26776452827898156,34,1766
so2sat,physics8,RandomForest,2,19,0.25130585396726957,34,1766
so2sat,physics8,SG-BSCM,5,0,0.2864121330684642,85,1715
so2sat,physics8,BSCM-uniform,5,0,0.2517011207940932,85,1715
so2sat,physics8,SRQFM-fid,5,0,0.2651734809214394,85,1715
so2sat,physics8,RBF-SVM,5,0,0.2760822134498233,85,1715
so2sat,physics8,RandomForest,5,0,0.27840524286352986,85,1715
so2sat,physics8,SG-BSCM,5,1,0.2775176716234822,85,1715
so2sat,physics8,BSCM-uniform,5,1,0.276618962608858,85,1715
so2sat,physics8,SRQFM-fid,5,1,0.24780594113283788,85,1715
so2sat,physics8,RBF-SVM,5,1,0.27733820389268393,85,1715
so2sat,physics8,RandomForest,5,1,0.2744545610090213,85,1715
so2sat,physics8,SG-BSCM,5,2,0.2650228674954982,85,1715
so2sat,physics8,BSCM-uniform,5,2,0.26487575933788415,85,1715
so2sat,physics8,SRQFM-fid,5,2,0.23602146249970157,85,1715
so2sat,physics8,RBF-SVM,5,2,0.2354724512710923,85,1715
so2sat,physics8,RandomForest,5,2,0.26513411450640534,85,1715
so2sat,physics8,SG-BSCM,5,3,0.2947661042392577,85,1715
so2sat,physics8,BSCM-uniform,5,3,0.23923282805133544,85,1715
so2sat,physics8,SRQFM-fid,5,3,0.26905705395283713,85,1715
so2sat,physics8,RBF-SVM,5,3,0.2963499721166823,85,1715
so2sat,physics8,RandomForest,5,3,0.29699743704423026,85,1715
so2sat,physics8,SG-BSCM,5,4,0.2667834247022004,85,1715
so2sat,physics8,BSCM-uniform,5,4,0.27209071851085515,85,1715
so2sat,physics8,SRQFM-fid,5,4,0.2822768696049744,85,1715
so2sat,physics8,RBF-SVM,5,4,0.2655002290407146,85,1715
so2sat,physics8,RandomForest,5,4,0.2678005384762483,85,1715
so2sat,physics8,SG-BSCM,5,5,0.3018726346734169,85,1715
so2sat,physics8,BSCM-uniform,5,5,0.2765128723493018,85,1715
so2sat,physics8,SRQFM-fid,5,5,0.2539353537193623,85,1715
so2sat,physics8,RBF-SVM,5,5,0.3152222628761072,85,1715
so2sat,physics8,RandomForest,5,5,0.29797460138448023,85,1715
so2sat,physics8,SG-BSCM,5,6,0.2757670073606152,85,1715
so2sat,physics8,BSCM-uniform,5,6,0.28329631724616205,85,1715
so2sat,physics8,SRQFM-fid,5,6,0.25491928072672715,85,1715
so2sat,physics8,RBF-SVM,5,6,0.2761558954167079,85,1715
so2sat,physics8,RandomForest,5,6,0.29424220214339164,85,1715
so2sat,physics8,SG-BSCM,5,7,0.29895246933106473,85,1715
so2sat,physics8,BSCM-uniform,5,7,0.2921602238958339,85,1715
so2sat,physics8,SRQFM-fid,5,7,0.27491556046832055,85,1715
so2sat,physics8,RBF-SVM,5,7,0.30860900369628474,85,1715
so2sat,physics8,RandomForest,5,7,0.28795751643457324,85,1715
so2sat,physics8,SG-BSCM,5,8,0.30078541383997004,85,1715
so2sat,physics8,BSCM-uniform,5,8,0.3124934736298717,85,1715
so2sat,physics8,SRQFM-fid,5,8,0.289683669323578,85,1715
so2sat,physics8,RBF-SVM,5,8,0.31970342811182406,85,1715
so2sat,physics8,RandomForest,5,8,0.2917752342077147,85,1715
so2sat,physics8,SG-BSCM,5,9,0.25121218535516016,85,1715
so2sat,physics8,BSCM-uniform,5,9,0.2597936052440746,85,1715
so2sat,physics8,SRQFM-fid,5,9,0.23391259770456424,85,1715
so2sat,physics8,RBF-SVM,5,9,0.20688197004519812,85,1715
so2sat,physics8,RandomForest,5,9,0.2848761029894515,85,1715
so2sat,physics8,SG-BSCM,5,10,0.218244977047018,85,1715
so2sat,physics8,BSCM-uniform,5,10,0.28806716571887075,85,1715
so2sat,physics8,SRQFM-fid,5,10,0.20223454995898105,85,1715
so2sat,physics8,RBF-SVM,5,10,0.2609678533034053,85,1715
so2sat,physics8,RandomForest,5,10,0.2850380889723261,85,1715
so2sat,physics8,SG-BSCM,5,11,0.2597877135968318,85,1715
so2sat,physics8,BSCM-uniform,5,11,0.2781896414138283,85,1715
so2sat,physics8,SRQFM-fid,5,11,0.268314143900197,85,1715
so2sat,physics8,RBF-SVM,5,11,0.2676155954279875,85,1715
so2sat,physics8,RandomForest,5,11,0.2751994230733168,85,1715
so2sat,physics8,SG-BSCM,5,12,0.2707245663714988,85,1715
so2sat,physics8,BSCM-uniform,5,12,0.26132923827364596,85,1715
so2sat,physics8,SRQFM-fid,5,12,0.2538097725692606,85,1715
so2sat,physics8,RBF-SVM,5,12,0.2828415322972957,85,1715
