model,macro_f1,balanced_acc,cohen_kappa
AGPQK,0.15343138882456414,0.1932517937790852,0.18113851658942326
RBF-tuned,0.5494732681637393,0.5731033108702974,0.6259268209104176
RandomForest,0.5443711358676291,0.5219488350053966,0.6430757243902683
