kernel,n,seed,macro_f1,kta,off_diag_mean,off_diag_var,polarization,eff_rank_shannon,eff_rank_huang
FQK,4,42,0.22937659546656086,0.25003563536170814,0.28364700321020425,0.0713563023407485,0.07135630234074848,12.86138612320636,2.9639936218191685
FQK,4,43,0.27519217034420446,0.25003563536170814,0.28364700321020425,0.0713563023407485,0.07135630234074848,12.86138612320636,2.9639936218191685
FQK,4,44,0.31000645499631296,0.25003563536170814,0.28364700321020425,0.0713563023407485,0.07135630234074848,12.86138612320636,2.9639936218191685
PQK,4,42,0.2425101316934772,0.21255306880297367,0.529051917927626,0.04214391100851292,0.04214391100851289,6.679074526662774,1.8333192808402656
PQK,4,43,0.2246232908358558,0.21255306880297367,0.529051917927626,0.04214391100851292,0.04214391100851289,6.679074526662774,1.8333192808402656
PQK,4,44,0.29137652845791856,0.21255306880297367,0.529051917927626,0.04214391100851292,0.04214391100851289,6.679074526662774,1.8333192808402656
FQK,6,42,0.2966586776165099,0.22522575083534271,0.13153928270962276,0.03548815937809097,0.03548815937809097,45.05937432547612,5.618679805666839
FQK,6,43,0.2879775668524028,0.22522575083534271,0.13153928270962276,0.03548815937809097,0.03548815937809097,45.05937432547612,5.618679805666839
FQK,6,44,0.32751922930985955,0.22522575083534271,0.13153928270962276,0.03548815937809097,0.03548815937809097,45.05937432547612,5.618679805666839
PQK,6,42,0.26247460700172176,0.19419588807742413,0.4056796435415402,0.03953661560037059,0.03953661560037064,14.74232760140151,2.3280896372354065
PQK,6,43,0.2698645350958581,0.19419588807742413,0.4056796435415402,0.03953661560037059,0.03953661560037064,14.74232760140151,2.3280896372354065
PQK,6,44,0.2979317014421379,0.19419588807742413,0.4056796435415402,0.03953661560037059,0.03953661560037064,14.74232760140151,2.3280896372354065
AGPQK,6,42,0.20999519951051357,0.12586854007314624,0.20452898699660702,0.02385812574334495,0.02385812574334497,46.636780855180305,4.598286676794748
AGPQK,6,43,0.19623467593689425,0.12586854007314624,0.20452898699660702,0.02385812574334495,0.02385812574334497,46.636780855180305,4.598286676794748
AGPQK,6,44,0.212382339319459,0.12586854007314624,0.20452898699660702,0.02385812574334495,0.02385812574334497,46.636780855180305,4.598286676794748
FQK,8,42,0.2818572911133465,0.23007442043279477,0.08159867973265954,0.020380471658382825,0.020380471658382828,90.2559683641857,8.398442465256608
FQK,8,43,0.3122609023041549,0.23007442043279477,0.08159867973265954,0.020380471658382825,0.020380471658382828,90.2559683641857,8.398442465256608
FQK,8,44,0.37557172322352583,0.23007442043279477,0.08159867973265954,0.020380471658382825,0.020380471658382828,90.2559683641857,8.398442465256608
PQK,8,42,0.2537649925573093,0.19328040448931927,0.32392208549018775,0.038604679455199534,0.03860467945519949,24.605681279713654,2.8288783408229827
PQK,8,43,0.3521003158000062,0.19328040448931927,0.32392208549018775,0.038604679455199534,0.03860467945519949,24.605681279713654,2.8288783408229827
PQK,8,44,0.34105324222106226,0.19328040448931927,0.32392208549018775,0.038604679455199534,0.03860467945519949,24.605681279713654,2.8288783408229827
AGPQK,8,42,0.24313259659025638,0.12396461307520522,0.1778330162519503,0.018816564016874752,0.018816564016874766,59.98990800410163,5.334413022587986
AGPQK,8,43,0.17136484517330594,0.12396461307520522,0.1778330162519503,0.018816564016874752,0.018816564016874766,59.98990800410163,5.334413022587986
AGPQK,8,44,0.20150944583614971,0.12396461307520522,0.1778330162519503,0.018816564016874752,0.018816564016874766,59.98990800410163,5.334413022587986
