N,off_diag_mean,off_diag_var,off_diag_std,within_1sigma,eff_rank_shannon,eff_rank_huang,kta_product,kta_class_centered,kernel
500,0.216100054541823,0.07389982788200872,0.27184522780804654,0.8046412825651302,16.209667809246866,3.960299981105618,0.5971645199528682,0.28528685771876017,BSCM-uniform   n=8  (N=500)
500,0.20980877156729968,0.06728505821062496,0.2593936356401694,0.8118236472945892,19.347098030526634,3.7885011716811627,0.604122185804542,0.2788971221508131,BSCM-phi_only  n=8  (N=500)
1800,0.21462961900227473,0.07420917918979118,0.2724136178493858,0.8066364029399049,16.69234181820305,4.000167242198066,0.5900287494219307,0.275483461193544,BSCM-uniform   n=8  (N=1800)
1800,0.20725175357551176,0.06728587872857889,0.25939521724306885,0.813137545549997,20.271455905273555,3.821610725313467,0.5956401859237098,0.2688839276007314,BSCM-phi_only  n=8  (N=1800)
800,0.06556671118758722,0.01887440907030635,0.1373841660101569,0.891520650813517,111.18350731346673,11.493901198010617,0.41749008030421136,0.29823179053955673,BSCM-uniform   n=14 (N=800)
