A,B,mean_A,mean_B,delta_mean,p_raw,p_holm,reject_holm_05
BSCM-phi_only,RBF-SVM (E26),0.4922473321824171,0.5183228519917027,-0.02607551980928554,0.1875,1.0,False
BSCM-phi_only,RF (E26),0.4922473321824171,0.4968434295702468,-0.0045960973878297565,1.0,1.0,False
BSCM-phi_only,SRQFM-PQK,0.4922473321824171,0.49244491895903686,-0.00019758677661970702,1.0,1.0,False
BSCM-phi_only,BSCM-uniform,0.4922473321824171,0.48293518890094467,0.009312143281472462,0.3125,1.0,False
BSCM-phi_only,ZZ-PQK,0.4922473321824171,0.4449018176690537,0.04734551451336346,0.0625,0.5625,False
BSCM-uniform,ZZ-PQK,0.48293518890094467,0.4449018176690537,0.038033371231891,0.0625,0.5625,False
BSCM-uniform,RF_phys8_N1800,0.48293518890094467,0.4323764775781071,0.05055871132283753,0.0625,0.5625,False
BSCM-14q,RF_phys14_N800,0.4178804559935769,0.4300511935209183,-0.012170737527341347,0.3125,1.0,False
SRQFM-PQK,RBF-SVM (E26),0.49244491895903686,0.5183228519917027,-0.025877933032665834,0.3125,1.0,False
