dataset,method,L,seed,f1
eurosat,BSCM-PQK,4,45,0.691523676399253
eurosat,BSCM-PQK,4,46,0.6539632193068197
eurosat,SG-BSCM-PQK,4,42,0.6983701790733522
eurosat,SG-BSCM-PQK,4,43,0.6739036322972469
eurosat,SG-BSCM-PQK,4,44,0.686198584339004
eurosat,SG-BSCM-PQK,4,45,0.6930463471675368
eurosat,SG-BSCM-PQK,4,46,0.6614789150892403
eurosat,SRQFM-PQK,6,42,0.673343191866615
eurosat,SRQFM-PQK,6,43,0.6587532710061553
eurosat,SRQFM-PQK,6,44,0.6826276942323722
eurosat,SRQFM-PQK,6,45,0.6745018217738705
eurosat,SRQFM-PQK,6,46,0.6447035620134332
eurosat,BSCM-PQK,6,42,0.6621048365955756
eurosat,BSCM-PQK,6,43,0.6653827692037801
eurosat,BSCM-PQK,6,44,0.6867343942514643
eurosat,BSCM-PQK,6,45,0.6844314215640821
eurosat,BSCM-PQK,6,46,0.6359524691625551
eurosat,SG-BSCM-PQK,6,42,0.6697036783297713
eurosat,SG-BSCM-PQK,6,43,0.6645798001307258
eurosat,SG-BSCM-PQK,6,44,0.68538375720757
eurosat,SG-BSCM-PQK,6,45,0.6835941442589688
eurosat,SG-BSCM-PQK,6,46,0.6454671036782431
eurosat,SRQFM-PQK,8,42,0.6668604836238317
eurosat,SRQFM-PQK,8,43,0.6275687809300586
eurosat,SRQFM-PQK,8,44,0.6465601247467772
eurosat,SRQFM-PQK,8,45,0.6446942094401031
eurosat,SRQFM-PQK,8,46,0.6185315701797927
eurosat,BSCM-PQK,8,42,0.6318355177974551
eurosat,BSCM-PQK,8,43,0.6641018142719693
eurosat,BSCM-PQK,8,44,0.660743463650889
eurosat,BSCM-PQK,8,45,0.6545651015518604
eurosat,BSCM-PQK,8,46,0.6136558887847546
eurosat,SG-BSCM-PQK,8,42,0.6359360318884113
eurosat,SG-BSCM-PQK,8,43,0.6355218147727577
eurosat,SG-BSCM-PQK,8,44,0.6563993406770384
eurosat,SG-BSCM-PQK,8,45,0.6364543248309669
eurosat,SG-BSCM-PQK,8,46,0.6281045727955794
eurosat,SRQFM-PQK,10,42,0.6526478906916241
eurosat,SRQFM-PQK,10,43,0.6126692250997358
eurosat,SRQFM-PQK,10,44,0.6321963003820537
eurosat,SRQFM-PQK,10,45,0.6436475844302754
eurosat,SRQFM-PQK,10,46,0.6077903408137476
eurosat,BSCM-PQK,10,42,0.6315641234049607
eurosat,BSCM-PQK,10,43,0.6263062534009325
eurosat,BSCM-PQK,10,44,0.6530356788723392
eurosat,BSCM-PQK,10,45,0.6531727412478036
eurosat,BSCM-PQK,10,46,0.6249643377992836
eurosat,SG-BSCM-PQK,10,42,0.6350279059712916
eurosat,SG-BSCM-PQK,10,43,0.6264306928709445
eurosat,SG-BSCM-PQK,10,44,0.6272341762792994
eurosat,SG-BSCM-PQK,10,45,0.6490379572669156
eurosat,SG-BSCM-PQK,10,46,0.6191898527588682
